[0/501] 0초 0/100 pos:0m, v:0m/s, Ek:0.0, p:0N
[438/501] 4초 38/100 pos:-18.850000000000065m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[439/501] 4초 39/100 pos:-18.950000000000067m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[440/501] 4초 40/100 pos:-19.050000000000068m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[441/501] 4초 41/100 pos:-19.15000000000007m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[442/501] 4초 42/100 pos:-19.25000000000007m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[443/501] 4초 43/100 pos:-19.350000000000072m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[444/501] 4초 44/100 pos:-19.450000000000074m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[445/501] 4초 45/100 pos:-19.550000000000075m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[446/501] 4초 46/100 pos:-19.650000000000077m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[447/501] 4초 47/100 pos:-19.750000000000078m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[448/501] 4초 48/100 pos:-19.85000000000008m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[449/501] 4초 49/100 pos:-19.95000000000008m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[450/501] 4초 50/100 pos:-20.050000000000082m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[451/501] 4초 51/100 pos:-20.150000000000084m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[452/501] 4초 52/100 pos:-20.250000000000085m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[453/501] 4초 53/100 pos:-20.350000000000087m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[454/501] 4초 54/100 pos:-20.450000000000088m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[455/501] 4초 55/100 pos:-20.55000000000009m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[456/501] 4초 56/100 pos:-20.65000000000009m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[457/501] 4초 57/100 pos:-20.750000000000092m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[458/501] 4초 58/100 pos:-20.850000000000094m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[459/501] 4초 59/100 pos:-20.950000000000095m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[460/501] 4초 60/100 pos:-21.050000000000097m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[461/501] 4초 61/100 pos:-21.150000000000098m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[462/501] 4초 62/100 pos:-21.2500000000001m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[463/501] 4초 63/100 pos:-21.3500000000001m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[464/501] 4초 64/100 pos:-21.450000000000102m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[465/501] 4초 65/100 pos:-21.550000000000104m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[466/501] 4초 66/100 pos:-21.650000000000105m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[467/501] 4초 67/100 pos:-21.750000000000107m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[468/501] 4초 68/100 pos:-21.850000000000108m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[469/501] 4초 69/100 pos:-21.95000000000011m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[470/501] 4초 70/100 pos:-22.05000000000011m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[471/501] 4초 71/100 pos:-22.150000000000112m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[472/501] 4초 72/100 pos:-22.250000000000114m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[473/501] 4초 73/100 pos:-22.350000000000115m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[474/501] 4초 74/100 pos:-22.450000000000117m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[475/501] 4초 75/100 pos:-22.550000000000118m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[476/501] 4초 76/100 pos:-22.65000000000012m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[477/501] 4초 77/100 pos:-22.75000000000012m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[478/501] 4초 78/100 pos:-22.850000000000122m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[479/501] 4초 79/100 pos:-22.950000000000124m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[480/501] 4초 80/100 pos:-23.050000000000125m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[481/501] 4초 81/100 pos:-23.150000000000126m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[482/501] 4초 82/100 pos:-23.250000000000128m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[483/501] 4초 83/100 pos:-23.35000000000013m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[484/501] 4초 84/100 pos:-23.45000000000013m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[485/501] 4초 85/100 pos:-23.550000000000132m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[486/501] 4초 86/100 pos:-23.650000000000134m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[487/501] 4초 87/100 pos:-23.750000000000135m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[488/501] 4초 88/100 pos:-23.850000000000136m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[489/501] 4초 89/100 pos:-23.950000000000138m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[490/501] 4초 90/100 pos:-24.05000000000014m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[491/501] 4초 91/100 pos:-24.15000000000014m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[492/501] 4초 92/100 pos:-24.250000000000142m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[493/501] 4초 93/100 pos:-24.350000000000144m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[494/501] 4초 94/100 pos:-24.450000000000145m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[495/501] 4초 95/100 pos:-24.550000000000146m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[496/501] 4초 96/100 pos:-24.650000000000148m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[497/501] 4초 97/100 pos:-24.75000000000015m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[498/501] 4초 98/100 pos:-24.85000000000015m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[499/501] 4초 99/100 pos:-24.950000000000152m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
[500/501] 5초 0/100 pos:-25.050000000000153m, v:-10.000000000000016m/s, Ek:50.00000000000016, p:-10.000000000000016N
소모 시간 : 0.3262302875518799s
